observer,luminance_cd_m2,eccentricity_deg,color_direction,stimulus_size_deg,stimulus_shape,num_trials,threshold,threshold_ci_low,threshold_ci_high,threshold_ppd,threshold_ppd_ci_low,threshold_ppd_ci_high,contrast_sensitivity
Obs016,100,20,1,2,1,31,-1.86563533594808,-1.97817693549913,-1.73400624365233,12.9870428156443,10.4275424472403,15.481940619409,1.09486693534701
Obs017,100,20,1,2,1,50,-2.27516937811735,-2.40919700267214,-1.89949120468661,23.5543539673255,13.706982444397,27.9670679901607,1.09486693534701
Obs018,100,20,1,2,1,30,-1.98691506949876,-2.10032130453043,-1.83920745035802,15.6880117721615,12.4429153972068,18.5305030187228,1.09486693534701
Obs001,100,0,2,2,1,61,-3.31613505152379,-3.43414122681789,-3.17638029752143,72.9334273975351,64.0954906199359,80.9998938004326,7.41537206629343
Obs002,100,0,2,2,1,30,-3.46873164971979,-3.59626040115389,-3.33410165870995,83.4722470159782,74.1253075732333,93.0215107564825,7.41537206629343
Obs003,100,0,2,2,1,30,-3.69114416634918,-3.90135617400041,-3.54622755703184,100.580321487401,89.1927997448315,118.761807481731,7.41537206629343
Obs004,100,0,2,2,1,50,-3.5529470976751,-3.64758726910101,-3.45265895832193,89.7007798405905,82.3172858963876,97.0615158133205,7.41537206629343
Obs005,100,0,2,2,1,36,-3.18085989345881,-3.29155030259343,-3.0773322205299,64.3670516290209,58.2845097460695,71.3233092331302,7.41537206629343
Obs007,100,0,2,2,1,32,-3.64393695834191,-3.74930883561861,-3.51976865045378,96.7704053736836,87.2112180498678,105.410443753094,7.41537206629343
Obs008,100,0,2,2,1,30,-3.55451731740881,-3.66074833985045,-3.42931631660425,89.8197617913646,80.6589628182301,98.1159510665173,7.41537206629343
Obs009,100,0,2,2,1,50,-3.61150742262329,NaN,-3.53953113871037,94.2096805195797,88.6884791761792,NaN,7.41537206629343
Obs010,100,0,2,2,1,60,-3.40633516680707,-3.58995403648718,-3.25754845127682,79.0482264187587,69.1357450526517,92.5330037514091,7.41537206629343
Obs011,100,0,2,2,1,50,-3.54369006436,-3.65515381164334,-3.45441751473801,89.0014717797476,82.4431309362606,97.6668019103596,7.41537206629343
Obs012,100,0,2,2,1,37,-3.65413999899021,-3.75276233824177,-3.54148918720841,97.5855563182555,88.8357465006229,105.701994017838,7.41537206629343
Obs013,100,0,2,2,1,31,-3.68211424616053,-3.80253609859429,-3.54814321365188,99.843954520541,89.3374225225472,109.963874259783,7.41537206629343
Obs014,100,0,2,2,1,30,-3.58089796932064,-3.70550921051251,-3.44218964563233,91.8344937258288,81.5707353237958,101.759200687013,7.41537206629343
Obs015,100,0,2,2,1,33,-3.53455302109124,-3.63420406237672,-3.41835556991058,88.3148016932854,79.8880280076839,95.9970581485766,7.41537206629343
Obs016,100,0,2,2,1,50,-3.29807541305518,-3.40144824101972,-3.16720213895918,71.7483208146589,63.5414822903801,78.7084927902044,7.41537206629343
Obs017,100,0,2,2,1,33,-3.38037296193298,-3.52261214625215,-3.24137172997414,77.2545120189066,68.1108838197639,87.4227533654485,7.41537206629343
Obs018,100,0,2,2,1,30,-3.5426836702095,-3.66923632480461,-3.42501675079637,88.9256651005428,80.3559602396301,98.800023652134,7.41537206629343
Obs001,100,10,2,2,1,72,-2.56044380494986,-2.68361817994012,-2.37864456537947,33.5718861462403,26.9165038870913,38.6537978952597,7.41537206629343
Obs002,100,10,2,2,1,30,-2.01294630131197,-2.12268205207494,-1.88138172427631,16.3127268518734,13.3186669383161,19.1286728277501,7.41537206629343
Obs003,100,10,2,2,1,30,-2.17397576016704,-2.27129696418261,-2.04211152472642,20.5491606708197,17.0321065191262,23.4342876752037,7.41537206629343
Obs004,100,10,2,2,1,35,-2.11115456991672,-2.21635111975649,-1.97944695624868,18.8187204436167,15.5117787169115,21.7743744013185,7.41537206629343
Obs005,100,10,2,2,1,30,-1.93797406919124,-2.01622999956883,-1.77173207247872,14.5570669993837,11.1230563304015,16.3926894946659,7.41537206629343
Obs006,100,10,2,2,1,33,-2.3281276590963,-2.44891687347746,-2.20617412891507,25.2377344868131,21.4758003566633,29.3732584412464,7.41537206629343
Obs008,100,10,2,2,1,30,-1.95992078989417,-2.0688286613029,-1.82940227753547,15.0572463125287,12.2449676458523,17.7093886223532,7.41537206629343
Obs009,100,10,2,2,1,44,-1.91649840534861,-2.01899672352324,-1.81138969104764,14.0784674916174,11.8868195796943,16.4602655815175,7.41537206629343
Obs010,100,10,2,2,1,26,-2.41318032556009,-2.66254711493154,NaN,28.1060182128938,NaN,37.7504297767078,7.41537206629343
Obs011,100,10,2,2,1,43,-2.10979308695561,-2.2046165132833,-1.99657607693437,18.7823353566055,15.9179664451357,21.4303450634958,7.41537206629343
Obs012,100,10,2,2,1,78,-1.99802117400518,-2.09344963678845,-1.90642615661023,15.9525551496549,13.8576618514923,18.3492174587594,7.41537206629343
Obs013,100,10,2,2,1,30,-2.00545834993145,-2.11073334047563,-1.85300532469361,16.1313582466101,12.7250646518107,18.8074582399773,7.41537206629343
Obs016,100,10,2,2,1,32,-1.97468389221295,-2.09518992100117,-1.8228671604962,15.4000718264166,12.1142089107589,18.3950166115463,7.41537206629343
Obs017,100,10,2,2,1,43,-2.06991325144173,-2.18147544198253,-1.9384313103574,17.7372558400791,14.5673731138093,20.7625638235225,7.41537206629343
